title,year,metascore,runtime_min,director,stars,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_History,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_News,GENRE_Romance,GENRE_Sci-Fi,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western,MPAA_NC-17,MPAA_NR,MPAA_PG,MPAA_PG-13,MPAA_R,awarded_director,awarded_stars
Babyteeth,2019,77.0,118.0,Shannon Murphy,"Eliza Scanlen, Michelle Lotters, Toby Wallace, Sora Wakaki",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Aeronauts,2019,60.0,100.0,Tom Harper,"Felicity Jones, Eddie Redmayne, Himesh Patel, Vincent Perez",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Informer,2019,61.0,113.0,Andrea Di Stefano,"Joel Kinnaman, Rosamund Pike, Common, Mateusz Kosciukiewicz",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Jacob's Ladder,2019,31.0,89.0,David M. Rosenthal,"Michael Ealy, Jesse Williams, Nicole Beharie, Guy Burnet",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Anna,2019,40.0,118.0,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bolden,2019,50.0,108.0,Dan Pritzker,"Gary Carr, Erik LaRay Harvey, Ian McShane, Michael Rooker",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
After Class,2019,71.0,93.0,Daniel Schechter,"Justin Long, Kate Berlant, Lynn Cohen, Michael Godere",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Phil,2019,30.0,106.0,Greg Kinnear,"Greg Kinnear, Emily Mortimer, Bradley Whitford, Jay Duplass",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Billboard,2019,24.0,89.0,Zeke Zelker,"Eric Roberts, Heather Matarazzo, Oakes Fegley, Darlene Cates",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ode to Joy,2019,38.0,97.0,Jason Winer,"Martin Freeman, Morena Baccarin, Jake Lacy, Melissa Rauch",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Captive State,2019,54.0,109.0,Rupert Wyatt,"John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Auggie,2019,44.0,81.0,Matt Kane,"Larisa Oleynik, Richard Kind, Christine Donlon, Susan Blackwell",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Peanut Butter Falcon,2019,70.0,97.0,Tyler Nilson,"Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2040,2019,77.0,92.0,Damon Gameau,"Damon Gameau, Eva Lazzaro, Zoë Gameau, Davini Malcolm",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bait,2019,84.0,89.0,Mark Jenkin,"Edward Rowe, Mary Woodvine, Simon Shepherd, Giles King",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cold Pursuit,2019,57.0,119.0,Hans Petter Moland,"Liam Neeson, Laura Dern, Micheál Richardson, Michael Eklund",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sea of Shadows,2019,72.0,105.0,Richard Ladkani,"Romel Eduardo Ledezma Abaroa, Rafael Pacchiano Alamán, Hector Capetillo, Andrea Crosta",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Judy & Punch,2019,59.0,105.0,Mirrah Foulkes,"Mia Wasikowska, Damon Herriman, Benedict Hardie, Jacek Koman",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Velvet Buzzsaw,2019,61.0,113.0,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Tom Sturridge",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Monos,2019,78.0,102.0,Alejandro Landes,"Sofia Buenaventura, Julián Giraldo, Karen Quintero, Laura Castrillón",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
One Child Nation,2019,85.0,88.0,Nanfu Wang,"Nanfu Wang, Zaodi Wang, Zhimei Wang, Tunde Wang",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Last Black Man in San Francisco,2019,83.0,121.0,Joe Talbot,"Jimmie Fails, Jonathan Majors, Rob Morgan, Tichina Arnold",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Close,2019,51.0,94.0,Vicky Jewson,"Noomi Rapace, Olivia Jewson, Abdellatif Chaouqi, Sophie Nélisse",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Sometimes Always Never,2018,67.0,91.0,Carl Hunter,"Bill Nighy, Sam Riley, Alice Lowe, Jenny Agutter",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Night Hunter,2018,31.0,98.0,David Raymond,"Henry Cavill, Ben Kingsley, Alexandra Daddario, Stanley Tucci",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Clovehitch Killer,2018,59.0,109.0,Duncan Skiles,"Dylan McDermott, Charlie Plummer, Samantha Mathis, Madisen Beaty",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anthropocene: The Human Epoch,2018,77.0,87.0,Jennifer Baichwal,Alicia Vikander,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Third Wife,2018,71.0,96.0,Ash Mayfair,"Hong Chuong Nguyen, Long Le Vu, Nu Yên-Khê Tran, Maya",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hotel Mumbai,2018,62.0,123.0,Anthony Maras,"Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Final Score,2018,53.0,104.0,Scott Mann,"Dave Bautista, Pierce Brosnan, Ray Stevenson, Martyn Ford",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Boy Erased,2018,69.0,115.0,Joel Edgerton,"Lucas Hedges, Nicole Kidman, Joel Edgerton, Russell Crowe",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Suspiria,2018,64.0,152.0,Luca Guadagnino,"Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Other Side of the Wind,2018,78.0,122.0,Orson Welles,"John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kin,2018,35.0,102.0,Jonathan Baker,"Myles Truitt, Jack Reynor, Dennis Quaid, Zoë Kravitz",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Peppermint,2018,29.0,101.0,Pierre Morel,"Jennifer Garner, John Gallagher Jr., John Ortiz, Juan Pablo Raba",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Mile 22,2018,38.0,94.0,Peter Berg,"Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14 Cameras,2018,25.0,90.0,Seth Fuller,"Zach Dulin, Kodi Saint Angelo, Neville Archambault, Chelsea Edmundson",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dilili in Paris,2018,37.0,95.0,Michel Ocelot,"Prunelle Charles-Ambron, Enzo Ratsito, Natalie Dessay, Bruno Paviot",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hotel Artemis,2018,58.0,94.0,Drew Pearce,"Jodie Foster, Sofia Boutella, Dave Bautista, Sterling K. Brown",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Social Animals,2018,37.0,90.0,Theresa Bennett,"Aya Cash, Carly Chaikin, Josh Radnor, Samira Wiley",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Occupation,2018,45.0,119.0,Luke Sparke,"Dan Ewing, Temuera Morrison, Stephany Jacobsen, Rhiannon Fish",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Future World,2018,10.0,90.0,James Franco,"James Franco, Suki Waterhouse, Jeff Wahlberg, Margarita Levieva",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Gotti,2018,24.0,112.0,Kevin Connolly,"John Travolta, Spencer Rocco Lofranco, Kelly Preston, Stacy Keach",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Shoplifters,2018,93.0,121.0,Hirokazu Koreeda,"Lily Franky, Sakura Andô, Kirin Kiki, Mayu Matsuoka",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3 Faces,2018,78.0,100.0,Jafar Panahi,"Behnaz Jafari, Jafar Panahi, Marziyeh Rezaei, Maedeh Erteghaei",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Terminal,2018,27.0,95.0,Vaughn Stein,"Margot Robbie, Simon Pegg, Dexter Fletcher, Mike Myers",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Roll Red Roll,2018,83.0,80.0,Nancy Schwartzman,"Mark Cole, Anthony Craig, Rachel Dissell, Alexandria Goddard",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
All About Nina,2018,70.0,97.0,Eva Vives,"Mary Elizabeth Winstead, Brodie Reed, Charlotte Newhouse, Jay Mohr",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Duck Butter,2018,58.0,93.0,Miguel Arteta,"Alia Shawkat, Laia Costa, Mae Whitman, Hong Chau",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Stockholm,2018,54.0,92.0,Robert Budreau,"Ethan Hawke, Noomi Rapace, Mark Strong, Christopher Heyerdahl",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Measure of a Man,2018,53.0,100.0,Jim Loach,"Judy Greer, Luke Wilson, Donald Sutherland, Liana Liberato",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Black Water,2018,16.0,104.0,Pasha Patriki,"Jean-Claude Van Damme, Dolph Lundgren, Al Sapienza, Courtney Blythe Turk",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Tyler Perry's Acrimony,2018,32.0,120.0,Tyler Perry,"Taraji P. Henson, Lyriq Bent, Crystle Stewart, Jazmyn Simon",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Upgrade,2018,67.0,100.0,Leigh Whannell,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Hurricane Heist,2018,35.0,103.0,Rob Cohen,"Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7 Days in Entebbe,2018,49.0,107.0,José Padilha,"Batsheva Dance Company, Zina Zinchenko, Ben Schnetzer, Daniel Brühl",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Irreplaceable You,2018,34.0,96.0,Stephanie Laing,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan, Timothy Simons",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Snapshots,2018,63.0,95.0,Melanie Mayron,"Piper Laurie, Brooke Adams, Emily Baldoni, Christopher McVay",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Titan,2018,33.0,97.0,Lennart Ruff,"Sam Worthington, Taylor Schilling, Tom Wilkinson, Agyness Deyn",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Scorched Earth,2018,32.0,96.0,Peter Howitt,"Gina Carano, Ryan Robbins, John Hannah, Dean Jagger",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Braven,2018,61.0,94.0,Lin Oeding,"Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A Kid Like Jake,2018,60.0,92.0,Silas Howard,"Claire Danes, Jim Parsons, Octavia Spencer, Priyanka Chopra",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Half the Picture,2018,76.0,94.0,Amy Adrion,"Ava DuVernay, Brenda Chapman, Caroline Libresco, Catherine Hardwicke",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Assassination Nation,2018,56.0,108.0,Sam Levinson,"Odessa Young, Abra, Suki Waterhouse, Hari Nef",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
On Her Shoulders,2018,84.0,95.0,Alexandria Bombach,"Nadia Murad, Murad Ismael, Simone Monasebian, Michelle Rempel",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Night Comes On,2018,79.0,86.0,Jordana Spiro,"Dominique Fishback, Jill Rene, Tatum Marilyn Hall, Nastashia Fuller",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Blindspotting,2018,77.0,95.0,Carlos López Estrada,"Daveed Diggs, Rafael Casal, Janina Gavankar, Jasmine Cephas Jones",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Private Life,2018,83.0,123.0,Tamara Jenkins,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bleeding Steel,2017,43.0,109.0,Leo Zhang,"Jackie Chan, Show Lo, Na-Na OuYang, Erica Xia-Hou",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Amaurosis,2017,49.0,108.0,Gary Sinyor,"Richard Flood, Jasmine Hyde, Simon Cotton, Derek Horsham",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Bright,2017,29.0,117.0,David Ayer,"Will Smith, Joel Edgerton, Noomi Rapace, Edgar Ramírez",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Please Stand By,2017,49.0,93.0,Ben Lewin,"Dakota Fanning, Alice Eve, Toni Collette, Lexi Aaron",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24 Hours to Live,2017,37.0,93.0,Brian Smrz,"Ethan Hawke, Qing Xu, Paul Anderson, Rutger Hauer",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Beyond Skyline,2017,46.0,106.0,Liam O'Donnell,"Frank Grillo, Bojana Novakovic, Jonny Weston, Callan Mulvey",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Fathom Premieres 6 Below: Miracle on the Mountain,2017,40.0,98.0,Scott Waugh,"Josh Hartnett, Mira Sorvino, Sarah Dumont, Kale Culley",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
My Little Pony: The Movie,2017,39.0,99.0,Jayson Thiessen,"Emily Blunt, Kristin Chenoweth, Liev Schreiber, Michael Peña",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Foreigner,2017,55.0,113.0,Martin Campbell,"Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Anna and the Apocalypse,2017,63.0,93.0,John McPhail,"Ella Hunt, Malcolm Cumming, Sarah Swire, Christopher Leveaux",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pyewacket,2017,56.0,90.0,Adam MacDonald,"Laurie Holden, Nicole Muñoz, Chloe Rose, Eric Osborne",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Revenge,2017,81.0,108.0,Coralie Fargeat,"Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Breath,2017,71.0,115.0,Simon Baker,"Elizabeth Debicki, Simon Baker, Richard Roxburgh, Jacek Koman",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Mom and Dad,2017,59.0,86.0,Brian Taylor,"Nicolas Cage, Selma Blair, Anne Winters, Zackary Arthur",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Outlaws,2017,24.0,92.0,Stephen McCallum,"Ryan Corr, Abbey Lee, Simone Kessell, Josh McConville",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Molly's Game,2017,71.0,140.0,Aaron Sorkin,"Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kodachrome,2017,57.0,105.0,Mark Raso,"Ed Harris, Jason Sudeikis, Elizabeth Olsen, Bruce Greenwood",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Woodshock,2017,39.0,100.0,Kate Mulleavy,"Kirsten Dunst, Joe Cole, Pilou Asbæk, Steph DuVall",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
West of Sunshine,2017,64.0,78.0,Jason Raftopoulos,"Damian Hill, Ty Perham, Arthur Angel, Kat Stewart",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
American Renegades,2017,33.0,106.0,Steven Quale,"J.K. Simmons, Sullivan Stapleton, Charlie Bewley, Sylvia Hoeks",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Death Note,2017,43.0,101.0,Adam Wingard,"Nat Wolff, LaKeith Stanfield, Margaret Qualley, Shea Whigham",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jackals,2017,33.0,85.0,Kevin Greutert,"Deborah Kara Unger, Ben Sullivan, Chelsea Ricketts, Nick Roux",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Logan Lucky,2017,78.0,118.0,Steven Soderbergh,"Channing Tatum, Adam Driver, Daniel Craig, Farrah Mackenzie",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6 Days,2017,36.0,94.0,Toa Fraser,"Jamie Bell, Mark Strong, Abbie Cornish, Martin Shaw",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Armed Response,2017,13.0,93.0,John Stockwell,"Wesley Snipes, Anne Heche, Dave Annable, Colby Lopez",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Detroit,2017,77.0,143.0,Kathryn Bigelow,"John Boyega, Anthony Mackie, Algee Smith, Jacob Latimore",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
First Kill,2017,39.0,97.0,Steven C. Miller,"Bruce Willis, Hayden Christensen, Ty Shelton, Megan Leonard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Valerian and the City of a Thousand Planets,2017,51.0,136.0,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mohawk,2017,70.0,91.0,Ted Geoghegan,"Kaniehtiio Horn, Ezra Buzzington, Eamon Farren, Justin Rain",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anything,2017,60.0,94.0,Timothy McNeil,"John Carroll Lynch, Matt Bomer, Maura Tierney, Margot Bingham",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
China Salesman,2017,14.0,110.0,Tan Bing,"Dong-xue Li, Mike Tyson, Janicke Askevold, Li Ai",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
